Title	ID	Product Type	Size	Tooth Count	Zipper Tooth Type	Slider Type	Item Type	Kits Including	Add Zipper Kit Type	Regular price	SKU	Categories	Tags	Gallery	Slug	Catalog Visibility	Shipping class
#5 Plastic Tooth Slider (Plastic, Locking)	380	Zipper Parts	Size #5		Plastic Tooth	Locking Sliders, Plastic Sliders, Single Pull	Boat Covers & Cushions, Wetsuits & Lifejackets	Marine Kit Parts	Marine Kit	1.5	5V PL LK	Filter Parts by Kit > Marine Kit Parts, Filter by Size > Size #5, Filter by Type > Plastic Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders, Filter by Type > Anti-Corrosive Plastic Sliders	Plastic Tooth, Size #5, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/plastic-tooth_5mm_single__locking_marine_v.jpg	5-plastic-tooth-slider-plastic	visible	Under $5
#8 Plastic Tooth Slider - Double Pull	381	Zipper Parts	Size #8		Plastic Tooth	Double Pull	Boat Covers & Cushions, Tents & Canopies	Marine Kit Parts	Marine Kit	2.5	8V DP	Filter Parts by Kit > Marine Kit Parts, Filter by Size > Size #8, Filter by Type > Plastic Tooth Sliders, Filter by Type > Double Pull Sliders	Plastic Tooth, Size #8, Slider - Double Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/plastic-tooth_8mm_double_non-locking_v.jpg	8-plastic-tooth-slider-dp	visible	Under $5
#10 Plastic Tooth Slider (Plastic)	382	Zipper Parts	Size #10		Plastic Tooth	Locking Sliders, Plastic Sliders, Single Pull	Boat Covers & Cushions, Wetsuits & Lifejackets	Marine Kit Parts	Marine Kit	2.5	10V PL LK	Filter Parts by Kit > Marine Kit Parts, Filter by Size > Size #10, Filter by Type > Plastic Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders, Filter by Type > Anti-Corrosive Plastic Sliders	Plastic Tooth, Size #10, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/plastic-tooth_10mm_single_locking_marine_v.jpg	10-plastic-tooth-slider-plastic	visible	Under $5
#4.5 Coil Slider - Double Pull	383	Zipper Parts	Size #4.5		Coil	Double Pull	Sleeping Bags, Tents & Canopies	Outdoor Kit Parts	Outdoor - Zipper Rescue Kit®	1.5	4.5C DP	Filter Parts by Kit > Outdoor Kit Parts, Filter by Size > Size #4.5, Filter by Type > Coil Sliders, Filter by Type > Double Pull Sliders, Filter by Type > Reverse Coil Sliders	Coil, Size #4.5, Slider - Double Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_4.5mm_double_non-locking.jpg	4-5-coil-slider-dp	visible	Under $5
#4.5 Coil Slider	384	Zipper Parts	Size #4.5		Coil	Single Pull	Backpacks & Bags, Luggage, Purses & Small Bags	Outdoor Kit Parts	Outdoor - Zipper Rescue Kit®	1.5	4.5C	Filter Parts by Kit > Outdoor Kit Parts, Filter by Size > Size #4.5, Filter by Type > Coil Sliders, Filter by Type > Single Pull Sliders	Coil, Size #4.5, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_4.5mm_single_non-locking.jpg	4-5-coil-slider	visible	Under $5
#5 Coil Slider - Double Pull	385	Zipper Parts	Size #5		Coil	Double Pull	Sleeping Bags, Tents & Canopies	Outdoor Kit Parts	Outdoor - Zipper Rescue Kit®	1.5	5C DP	Filter Parts by Kit > Outdoor Kit Parts, Filter by Size > Size #5, Filter by Type > Coil Sliders, Filter by Type > Double Pull Sliders, Filter by Type > Reverse Coil Sliders	Coil, Size #5, Slider - Double Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_5mm_double_non-locking.jpg	5-coil-slider-dp	visible	Under $5
#5 Coil Slider	386	Zipper Parts	Size #5		Coil	Single Pull	Backpacks & Bags, Luggage	Outdoor Kit Parts	Outdoor - Zipper Rescue Kit®	1.5	5C	Filter Parts by Kit > Outdoor Kit Parts, Filter by Size > Size #5, Filter by Type > Coil Sliders, Filter by Type > Single Pull Sliders	Coil, Size #5, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_5mm_single_non-locking.jpg	5-coil-slider	visible	Under $5
#5 Plastic Tooth Slider (Locking)	387	Zipper Parts	Size #5		Plastic Tooth	Locking Sliders, Single Pull	Boots & Shoes, Jackets & Coats	Clothing - Zipper Rescue Kit®	Clothing - Zipper Rescue Kit®	1.5	5V L	Filter Parts by Kit > Clothing Kit Parts, Filter Parts by Kit > Outdoor Kit Parts, Filter Parts by Kit > Moto Kit Parts, Filter by Size > Size #5, Filter by Type > Plastic Tooth Sliders, Filter by Type > Single Pull Sliders, Filter by Type > Locking Sliders	Plastic Tooth, Size #5, Slider - Locking, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/plastic-tooth_5mm_single_locking_v.jpg	5-plastic-tooth-locking	visible	Under $5
#8 Coil Slider	388	Zipper Parts	Size #8		Coil	Single Pull	Backpacks & Bags, Luggage	Outdoor Kit Parts	Outdoor - Zipper Rescue Kit®	1.75	8C	Filter Parts by Kit > Outdoor Kit Parts, Filter by Size > Size #8, Filter by Type > Coil Sliders, Filter by Type > Single Pull Sliders	Coil, Size #8, Slider - Single Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_8mm_single_non-locking.jpg	8-coil-slider	visible	Under $5
#8 Coil Slider - Double Pull	389	Zipper Parts	Size #8		Coil	Double Pull	Sleeping Bags, Tents & Canopies	Outdoor Kit Parts	Outdoor - Zipper Rescue Kit®	1.75	8C DP	Filter Parts by Kit > Outdoor Kit Parts, Filter by Size > Size #8, Filter by Type > Coil Sliders, Filter by Type > Double Pull Sliders	Coil, Size #8, Slider - Double Pull, Slider - Reverse Coil	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_8mm_double_non-locking_ID_389.jpeg	8-coil-slider-dp	visible	Under $5
#3 Coil Slider - Double Pull	1514	Zipper Parts	Size #3		Coil	Double Pull	Sleeping Bags, Tents & Canopies	Outdoor Kit Parts	Outdoor - Zipper Rescue Kit®	1.75	3C-DP	Filter Parts by Kit > Outdoor Kit Parts, Filter by Size > Size #3, Filter by Type > Coil Sliders, Filter by Type > Double Pull Sliders	Coil, Size #3, Slider - Double Pull	https://staging2.zipperrescue.com/wp-content/uploads/2025/02/coil_3mm_double_non-locking.jpg	3-coil-slider-double-pull	visible	Under $5
